UniProt ID,Gene,Protein name,
Q6H9L7,ISM2,Isthmin-2,
Q6IAA8,LAMTOR1,Ragulator complex protein LAMTOR1,
Q6IBS0,TWF2,Twinfilin-2,
Q6IC83,C22orf42,Uncharacterized protein C22orf42,
Q6ICG8,WBP2NL,Postacrosomal sheath WW domain-binding protein,
Q6IE81,JADE1,Protein Jade-1,
Q6IMN6,CAPRIN2,Caprin-2,
Q6IN84,MRM1,rRNA methyltransferase 1,
Q6IN97,FRMPD2B,Putative protein FRMPD2-like,
Q6IPM2,IQCE,IQ domain-containing protein E,
Q6IQ19,CCSAP,Centriole,
Q6IS14,EIF5AL1,Eukaryotic translation initiation factor 5A-1-like,
Q6ISS4,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,
Q6J272,CIMIP2A,Ciliary microtubule inner protein 2A,
Q6JBY9,RCSD1,CapZ-interacting protein,
Q6K0P9,PYHIN1,Pyrin and HIN domain-containing protein 1,
Q6L9W6,B4GALNT3,Beta-1,
Q6MZT1,RGS7BP,Regulator of G-protein signaling 7-binding protein,
Q6N021,TET2,Methylcytosine dioxygenase TET2,
Q6NSI1,ANKRD26P1,Putative ankyrin repeat domain-containing protein 26-like protein,
Q6NSI8,SANBR,SANT and BTB domain regulator of class switch recombination,
Q6NSJ2,PHLDB3,Pleckstrin homology-like domain family B member 3,
Q6NT46,GAGE2A,G antigen 2A,
Q6NT76,HMBOX1,Homeobox-containing protein 1,
Q6NUJ1,PSAPL1,Proactivator polypeptide-like 1,
Q6NUN0,ACSM5,Acyl-coenzyme A synthetase ACSM5,
Q6NUN9,ZNF746,Zinc finger protein 746,
Q6NUP7,PPP4R4,Serine/threonine-protein phosphatase 4 regulatory subunit 4,
Q6NUQ1,RINT1,RAD50-interacting protein 1,
Q6NUS6,TCTN3,Tectonic-3,
Q6NV74,CRACDL,CRACD-like protein,
Q6NW40,RGMB,Repulsive guidance molecule B,
Q6NXP0,EFCAB12,EF-hand calcium-binding domain-containing protein 12,
Q6NXS1,PPP1R2B,Protein phosphatase inhibitor 2 family member B,
Q6NXT1,ANKRD54,Ankyrin repeat domain-containing protein 54,
Q6NYC1,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,
Q6NYC8,PPP1R18,Phostensin,
Q6NZ36,FAAP20,Fanconi anemia core complex-associated protein 20,
Q6NZ67,MZT2B,Mitotic-spindle organizing protein 2B,
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,
Q6P0N0,MIS18BP1,Mis18-binding protein 1,
Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,
Q6P1J6,PLB1,Phospholipase B1,
Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4,
Q6P1N0,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,
Q6P1R4,DUS1L,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,
Q6P2D8,XRRA1,X-ray radiation resistance-associated protein 1,
Q6P2H3,CEP85,Centrosomal protein of 85 kDa,
Q6P3R8,NEK5,Serine/threonine-protein kinase Nek5,
Q6P3S6,FBXO42,F-box only protein 42,
Q6P474,PDXDC2P,Putative pyridoxal-dependent decarboxylase domain-containing protein 2,
Q6P4E1,GOLM2,Protein GOLM2,
Q6P4F2,FDX2,Ferredoxin-2,
Q6P4F7,ARHGAP11A,Rho GTPase-activating protein 11A,
Q6P589,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,
Q6P5Q4,LMOD2,Leiomodin-2,
Q6P5S2,LEG1,Protein LEG1 homolog,
Q6P5Z2,PKN3,Serine/threonine-protein kinase N3,
Q6P656,CFAP161,Cilia- and flagella-associated protein 161,
Q6P995,FAM171B,Protein FAM171B,
Q6P996,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,
Q6P9F5,TRIM40,E3 ubiquitin ligase TRIM40,
Q6P9H5,GIMAP6,GTPase IMAP family member 6,
Q6PCB0,VWA1,von Willebrand factor A domain-containing protein 1,
Q6PCB8,EMB,Embigin,
Q6PCT2,FBXL19,F-box/LRR-repeat protein 19,
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,
Q6PGN9,PSRC1,Proline/serine-rich coiled-coil protein 1,
Q6PH85,DCUN1D2,DCN1-like protein 2,
Q6PI47,KCTD18,BTB/POZ domain-containing protein KCTD18,
Q6PI73,LILRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6,
Q6PI77,GPRASP3,G protein-coupled receptor associated sorting protein 3,
Q6PI97,HOATZ,Cilia- and flagella-associated protein HOATZ,
Q6PIL6,KCNIP4,Kv channel-interacting protein 4,
Q6PIW4,FIGNL1,Fidgetin-like protein 1,
Q6PJ61,FBXO46,F-box only protein 46,
Q6PJW8,CNST,Consortin,
Q6PK04,CCDC137,Coiled-coil domain-containing protein 137,
Q6PKG0,LARP1,La-related protein 1,
Q6PKH6,DHRS4L2,Dehydrogenase/reductase SDR family member 4-like 2,
Q6PL24,TMED8,Protein TMED8,
Q6Q4G3,LVRN,Aminopeptidase Q,
Q6Q8B3,CD200R1L,Cell surface glycoprotein CD200 receptor 2,
Q6QEF8,CORO6,Coronin-6,
Q6QNK2,ADGRD1,Adhesion G-protein coupled receptor D1,
Q6QNY0,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,
Q6RI45,BRWD3,Bromodomain and WD repeat-containing protein 3,
Q6S8J7,POTEA,POTE ankyrin domain family member A,
Q6SJ93,FAM111B,Serine protease FAM111B,
Q6SJ96,TBPL2,TATA box-binding protein-like 2,
Q6T4R5,NHS,Actin remodeling regulator NHS,
Q6TDU7,DNAI7,Dynein axonemal intermediate chain 7,
Q6U949,IGF2-AS,Putative insulin-like growth factor 2 antisense gene protein,
Q6UB28,METAP1D,Methionine aminopeptidase 1D,
Q6UB99,ANKRD11,Ankyrin repeat domain-containing protein 11,
Q6ULP2,AFTPH,Aftiphilin,
Q6UUV9,CRTC1,CREB-regulated transcription coactivator 1,
Q6UVJ0,SASS6,Spindle assembly abnormal protein 6 homolog,
Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4,
Q6UW15,REG3G,Regenerating islet-derived protein 3-gamma,
Q6UW49,SPESP1,Sperm equatorial segment protein 1,
Q6UW56,ATRAID,All-trans retinoic acid-induced differentiation factor,
Q6UW88,EPGN,Epigen,
Q6UWF7,NXPE4,NXPE family member 4,
Q6UWI2,PARM1,Prostate androgen-regulated mucin-like protein 1,
Q6UWJ8,CD164L2,CD164 sialomucin-like 2 protein,
Q6UWK7,GPR15LG,Protein GPR15LG,
Q6UWL2,SUSD1,Sushi domain-containing protein 1,
Q6UWL6,KIRREL2,Kin of IRRE-like protein 2,
Q6UWM7,LCTL,Lactase-like protein,
Q6UWN8,SPINK6,Serine protease inhibitor Kazal-type 6,
Q6UWP8,SBSN,Suprabasin,
Q6UWR7,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,
Q6UWV6,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,
Q6UWW0,LCN15,Lipocalin-15,
Q6UWW8,CES3,Carboxylesterase 3,
Q6UX06,OLFM4,Olfactomedin-4,
Q6UX15,LAYN,Layilin,
Q6UX27,VSTM1,V-set and transmembrane domain-containing protein 1,
Q6UX52,C17orf99,Protein IL-40,
Q6UX71,PLXDC2,Plexin domain-containing protein 2,
Q6UX73,C16orf89,UPF0764 protein C16orf89,
Q6UX82,LYPD8,Ly6/PLAUR domain-containing protein 8,
Q6UXB1,IGFL3,Insulin growth factor-like family member 3,
Q6UXB2,CXCL17,C-X-C motif chemokine 17,
Q6UXB4,CLEC4G,C-type lectin domain family 4 member G,
Q6UXB8,PI16,Peptidase inhibitor 16,
Q6UXC1,MAMDC4,Apical endosomal glycoprotein,
Q6UXD5,SEZ6L2,Seizure 6-like protein 2,
Q6UXF1,TMEM108,Transmembrane protein 108,
Q6UXG3,CD300LG,CMRF35-like molecule 9,
Q6UXG8,BTNL9,Butyrophilin-like protein 9,
Q6UXH1,CRELD2,Protein disulfide isomerase CRELD2,
Q6UXH8,CCBE1,Collagen and calcium-binding EGF domain-containing protein 1,
Q6UXH9,PAMR1,Inactive serine protease PAMR1,
Q6UXI7,VIT,Vitrin,
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,
Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1,
Q6UXL0,IL20RB,Interleukin-20 receptor subunit beta,
Q6UXM1,LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,
Q6UXU4,GSG1L,Germ cell-specific gene 1-like protein,
Q6UXV0,GFRAL,GDNF family receptor alpha-like,
Q6UXY1,BAIAP2L2,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2,
Q6UXZ3,CD300LD,CMRF35-like molecule 5,
Q6UXZ4,UNC5D,Netrin receptor UNC5D,
Q6UY09,CEACAM20,Carcinoembryonic antigen-related cell adhesion molecule 20,
Q6UY14,ADAMTSL4,ADAMTS-like protein 4,
Q6UYE1,DLEU7,Leukemia-associated protein 7,
Q6V0I7,FAT4,Protocadherin Fat 4,
Q6V0L0,CYP26C1,Cytochrome P450 26C1,
Q6V702,CFAP299,Cilia- and flagella-associated protein 299,
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein,
Q6WN34,CHRDL2,Chordin-like protein 2,
Q6X4U4,SOSTDC1,Sclerostin domain-containing protein 1,
Q6XE24,RBMS3,RNA-binding motif,
Q6XQN6,NAPRT,Nicotinate phosphoribosyltransferase,
Q6XYB7,LBX2,Transcription factor LBX2,
Q6XZF7,DNMBP,Dynamin-binding protein,
Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2,
Q6YHK3,CD109,CD109 antigen,
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,
Q6ZMC9,SIGLEC15,Sialic acid-binding Ig-like lectin 15,
Q6ZMH5,SLC39A5,Zinc transporter ZIP5,
Q6ZMJ2,SCARA5,Scavenger receptor class A member 5,
Q6ZMJ4,IL34,Interleukin-34,
Q6ZMM2,ADAMTSL5,ADAMTS-like protein 5,
Q6ZMN7,PDZRN4,PDZ domain-containing RING finger protein 4,
Q6ZMT1,STAC2,SH3 and cysteine-rich domain-containing protein 2,
Q6ZMT9,DTHD1,Death domain-containing protein 1,
Q6ZMV7,LEKR1,Protein LEKR1,
Q6ZMV9,KIF6,Kinesin-like protein KIF6,
Q6ZMW3,EML6,Echinoderm microtubule-associated protein-like 6,
Q6ZMZ3,SYNE3,Nesprin-3,
Q6ZN04,MEX3B,RNA-binding protein MEX3B,
Q6ZN28,MACC1,Metastasis-associated in colon cancer protein 1,
Q6ZN54,DEF8,Differentially expressed in FDCP 8 homolog,
Q6ZN66,GBP6,Guanylate-binding protein 6,
Q6ZNE5,ATG14,Beclin 1-associated autophagy-related key regulator,
Q6ZNG2,DBX2,Homeobox protein DBX2,
Q6ZNJ1,NBEAL2,Neurobeachin-like protein 2,
Q6ZP65,BICDL1,BICD family-like cargo adapter 1,
Q6ZRK6,CCDC73,Coiled-coil domain-containing protein 73,
Q6ZRN7,,Putative uncharacterized protein FLJ46214,
Q6ZRP7,QSOX2,Sulfhydryl oxidase 2,
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2,
Q6ZSB9,ZBTB49,Zinc finger and BTB domain-containing protein 49,
Q6ZSG2,INSYN2A,Inhibitory synaptic factor 2A,
Q6ZSR3,,Putative uncharacterized protein FLJ45275,
Q6ZST2,COL25A1-DT,Putative uncharacterized protein COL25A1-DT,
Q6ZT62,BARGIN,Bargin,
Q6ZT98,TTLL7,Tubulin polyglutamylase TTLL7,
Q6ZTI6,RFLNA,Refilin-A,
Q6ZTU2,EP400P1,Putative EP400-like protein,
Q6ZU15,SEPTIN14,Septin-14,
Q6ZU52,KIAA0408,Uncharacterized protein KIAA0408,
Q6ZU65,UBN2,Ubinuclein-2,
Q6ZU67,BEND4,BEN domain-containing protein 4,
Q6ZU80,CEP128,Centrosomal protein of 128 kDa,
Q6ZUJ4,C3orf62,Uncharacterized protein C3orf62,
Q6ZUJ8,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1,
Q6ZUM4,ARHGAP27,Rho GTPase-activating protein 27,
Q6ZUS5,CCDC121,Coiled-coil domain-containing protein 121,
Q6ZUT3,FRMD7,FERM domain-containing protein 7,
Q6ZUX3,TOGARAM2,TOG array regulator of axonemal microtubules protein 2,
Q6ZV73,FGD6,FYVE,
Q6ZVC0,NYAP1,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1,
Q6ZVF9,GPRIN3,G protein-regulated inducer of neurite outgrowth 3,
Q6ZVL6,KIAA1549L,UPF0606 protein KIAA1549L,
Q6ZVM7,TOM1L2,TOM1-like protein 2,
Q6ZVN8,HJV,Hemojuvelin,
Q6ZVT6,CFAP20DC,Protein CFAP20DC,
Q6ZVX7,NCCRP1,F-box only protein 50,
Q6ZW13,C16orf86,Uncharacterized protein C16orf86,
Q6ZW76,ANKS3,Ankyrin repeat and SAM domain-containing protein 3,
Q6ZWB6,KCTD8,BTB/POZ domain-containing protein KCTD8,
Q6ZWJ1,STXBP4,Syntaxin-binding protein 4,
Q6ZWK4,RHEX,Regulator of hemoglobinization and erythroid cell expansion protein,
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34,
Q70CQ4,USP31,Ubiquitin carboxyl-terminal hydrolase 31,
Q70EL4,USP43,Ubiquitin carboxyl-terminal hydrolase 43,
Q711Q0,CEFIP,Cardiac-enriched FHL2-interacting protein,
Q719I0,AHSA2P,Putative activator of 90 kDa heat shock protein ATPase homolog 2,
Q71F56,MED13L,Mediator of RNA polymerase II transcription subunit 13-like,
Q71RC2,LARP4,La-related protein 4,
Q75QN2,INTS8,Integrator complex subunit 8,
Q75VX8,GAREM2,GRB2-associated and regulator of MAPK protein 2,
Q765P7,MTSS2,Protein MTSS 2,
Q76G19,PDZD4,PDZ domain-containing protein 4,
Q76I76,SSH2,Protein phosphatase Slingshot homolog 2,
Q76KD6,SPATC1,Speriolin,
Q76L83,ASXL2,Putative Polycomb group protein ASXL2,
Q76LX8,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,
Q76M96,CCDC80,Coiled-coil domain-containing protein 80,
Q76NI1,KNDC1,Kinase non-catalytic C-lobe domain-containing protein 1,
Q7KYR7,BTN2A1,Butyrophilin subfamily 2 member A1,
Q7L0J3,SV2A,Synaptic vesicle glycoprotein 2A,
Q7L0X2,ERICH6,Glutamate-rich protein 6,
Q7L0Y3,TRMT10C,tRNA methyltransferase 10 homolog C,
Q7L190,DPPA4,Developmental pluripotency-associated protein 4,
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase,
Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,
Q7L2K0,TEDC2,Tubulin epsilon and delta complex protein 2,
Q7L311,ARMCX2,Armadillo repeat-containing X-linked protein 2,
Q7L3B6,CDC37L1,Hsp90 co-chaperone Cdc37-like 1,
Q7L4P6,BEND5,BEN domain-containing protein 5,
Q7L590,MCM10,Protein MCM10 homolog,
Q7L5N7,LPCAT2,Lysophosphatidylcholine acyltransferase 2,
Q7L5Y9,MAEA,E3 ubiquitin-protein transferase MAEA,
Q7L8A9,VASH1,Tubulinyl-Tyr carboxypeptidase 1,
Q7L8J4,SH3BP5L,SH3 domain-binding protein 5-like,
Q7L8S5,OTUD6A,OTU domain-containing protein 6A,
Q7L9B9,EEPD1,Endonuclease/exonuclease/phosphatase family domain-containing protein 1,
Q7LDG7,RASGRP2,RAS guanyl-releasing protein 2,
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,
Q7RTP6,MICAL3,[F-actin]-monooxygenase MICAL3,
Q7RTR0,NLRP9,NACHT,
Q7RTS1,BHLHA15,Class A basic helix-loop-helix protein 15,
Q7RTW8,OTOA,Otoancorin,
Q7Z2E3,APTX,Aprataxin,
Q7Z2V1,C16orf82,Protein TNT,
Q7Z2Z1,TICRR,Treslin,
Q7Z304,MAMDC2,MAM domain-containing protein 2,
Q7Z309,PABIR2,PABIR family member 2,
Q7Z353,HDX,Highly divergent homeobox,
Q7Z3B3,KANSL1,KAT8 regulatory NSL complex subunit 1,
Q7Z3D4,LYSMD3,LysM and putative peptidoglycan-binding domain-containing protein 3,
Q7Z3E1,TIPARP,Protein mono-ADP-ribosyltransferase TIPARP,
Q7Z3I7,ZNF572,Zinc finger protein 572,
Q7Z3T8,ZFYVE16,Zinc finger FYVE domain-containing protein 16,
Q7Z3U7,MON2,Protein MON2 homolog,
Q7Z3Z3,PIWIL3,Piwi-like protein 3,
Q7Z3Z4,PIWIL4,Piwi-like protein 4,
Q7Z417,NUFIP2,FMR1-interacting protein NUFIP2,
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,
Q7Z460,CLASP1,CLIP-associating protein 1,
Q7Z4H3,HDDC2,5'-deoxynucleotidase HDDC2,
Q7Z4H7,HAUS6,HAUS augmin-like complex subunit 6,
Q7Z4V5,HDGFL2,Hepatoma-derived growth factor-related protein 2,
Q7Z4W1,DCXR,L-xylulose reductase,
Q7Z4W2,LYZL2,Lysozyme-like protein 2,
Q7Z569,BRAP,BRCA1-associated protein,
Q7Z572,SPATA21,Spermatogenesis-associated protein 21,
Q7Z5A7,TAFA5,Chemokine-like protein TAFA-5,
Q7Z5A8,TAFA3,Chemokine-like protein TAFA-3,
Q7Z5A9,TAFA1,Chemokine-like protein TAFA-1,
Q7Z5K2,WAPL,Wings apart-like protein homolog,
Q7Z5L0,VMO1,Vitelline membrane outer layer protein 1 homolog,
Q7Z5L2,R3HCC1L,Coiled-coil domain-containing protein R3HCC1L,
Q7Z5L3,C1QL2,Complement C1q-like protein 2,
Q7Z5L4,SPATA19,Spermatogenesis-associated protein 19,
Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2,
Q7Z5R6,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,
Q7Z5U6,WDR53,WD repeat-containing protein 53,
Q7Z5V6,SAXO4,Stabilizer of axonemal microtubules 4,
Q7Z5Y7,KCTD20,BTB/POZ domain-containing protein KCTD20,
Q7Z628,NET1,Neuroepithelial cell-transforming gene 1 protein,
Q7Z692,CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,
Q7Z698,SPRED2,Sprouty-related,
Q7Z6A9,BTLA,B- and T-lymphocyte attenuator,
Q7Z6B0,CCDC91,Coiled-coil domain-containing protein 91,
Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2,
Q7Z6I6,ARHGAP30,Rho GTPase-activating protein 30,
Q7Z6I8,C5orf24,UPF0461 protein C5orf24,
Q7Z6J4,FGD2,FYVE,
Q7Z6K4,NRARP,Notch-regulated ankyrin repeat-containing protein,
Q7Z6K5,ARPIN,Arpin,
Q7Z6L0,PRRT2,Proline-rich transmembrane protein 2,
Q7Z6L1,TECPR1,Tectonin beta-propeller repeat-containing protein 1,
Q7Z6M1,RABEPK,Rab9 effector protein with kelch motifs,
Q7Z6M3,MILR1,Allergin-1,
Q7Z6P3,RAB44,Ras-related protein Rab-44,
Q7Z739,YTHDF3,YTH domain-containing family protein 3,
Q7Z7A1,CNTRL,Centriolin,
Q7Z7B0,FILIP1,Filamin-A-interacting protein 1,
Q7Z7C7,STRA8,Stimulated by retinoic acid gene 8 protein homolog,
Q7Z7D3,VTCN1,V-set domain-containing T-cell activation inhibitor 1,
Q7Z7G0,ABI3BP,Target of Nesh-SH3,
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,
Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog,
Q7Z7L7,ZER1,Protein zer-1 homolog,
Q7Z7M9,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,
Q86SE5,RALYL,RNA-binding Raly-like protein,
Q86SF2,GALNT7,N-acetylgalactosaminyltransferase 7,
Q86SG3,DAZ4,Deleted in azoospermia protein 4,
Q86SG4,HMGN2P46,Putative Dresden prostate carcinoma protein 2,
Q86SG7,LYG2,Lysozyme g-like protein 2,
Q86SJ2,AMIGO2,Amphoterin-induced protein 2,
Q86SJ6,DSG4,Desmoglein-4,
Q86SQ0,PHLDB2,Pleckstrin homology-like domain family B member 2,
Q86SQ7,SDCCAG8,Serologically defined colon cancer antigen 8,
Q86SR1,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,
Q86SX6,GLRX5,Glutaredoxin-related protein 5,
Q86T13,CLEC14A,C-type lectin domain family 14 member A,
Q86T23,CROCCP2,Putative ciliary rootlet coiled-coil protein-like 1 protein,
Q86T26,TMPRSS11B,Transmembrane protease serine 11B,
Q86T75,NBPF11,Neuroblastoma breakpoint family member 11,
Q86T82,USP37,Ubiquitin carboxyl-terminal hydrolase 37,
Q86T90,KIAA1328,Protein hinderin,
Q86TB3,ALPK2,Alpha-protein kinase 2,
Q86TE4,LUZP2,Leucine zipper protein 2,
Q86TH1,ADAMTSL2,ADAMTS-like protein 2,
Q86TM3,DDX53,Probable ATP-dependent RNA helicase DDX53,
Q86TS9,MRPL52,Large ribosomal subunit protein mL52,
Q86U10,ASPG,60 kDa lysophospholipase,
Q86U17,SERPINA11,Serpin A11,
Q86U28,ISCA2,Iron-sulfur cluster assembly 2 homolog,
Q86UA6,RPAIN,RPA-interacting protein,
Q86UB2,BIVM,Basic immunoglobulin-like variable motif-containing protein,
Q86UD1,OAF,Out at first protein homolog,
Q86UE4,MTDH,Protein LYRIC,
Q86UE6,LRRTM1,Leucine-rich repeat transmembrane neuronal protein 1,
Q86UN3,RTN4RL2,Reticulon-4 receptor-like 2,
Q86UN6,AKAP14,A-kinase anchor protein 14,
Q86UP6,CUZD1,CUB and zona pellucida-like domain-containing protein 1,
Q86UP8,GTF2IRD2,General transcription factor II-I repeat domain-containing protein 2A,
Q86US8,SMG6,Telomerase-binding protein EST1A,
Q86UT8,CENATAC,Centrosomal AT-AC splicing factor,
Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1,
Q86UU5,GGN,Gametogenetin,
Q86UV5,USP48,Ubiquitin carboxyl-terminal hydrolase 48,
Q86UW2,SLC51B,Organic solute transporter subunit beta,
Q86UW6,N4BP2,NEDD4-binding protein 2,
Q86UW9,DTX2,Probable E3 ubiquitin-protein ligase DTX2,
Q86UX2,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,
Q86UX6,STK32C,Serine/threonine-protein kinase 32C,
Q86UY6,NAA40,N-alpha-acetyltransferase 40,
Q86V15,CASZ1,Zinc finger protein castor homolog 1,
Q86V35,CABP7,Calcium-binding protein 7,
Q86V59,PNMA8A,Paraneoplastic antigen-like protein 8A,
Q86V81,ALYREF,THO complex subunit 4,
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130,
Q86VF7,NRAP,Nebulin-related-anchoring protein,
Q86VG3,IFTAP,Intraflagellar transport-associated protein,
Q86VH2,KIF27,Kinesin-like protein KIF27,
Q86VH4,LRRTM4,Leucine-rich repeat transmembrane neuronal protein 4,
Q86VP1,TAX1BP1,Tax1-binding protein 1,
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2,
Q86VR7,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,
Q86VV4,RANBP3L,Ran-binding protein 3-like,
Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,
Q86VX2,COMMD7,COMM domain-containing protein 7,
Q86VY4,TSPYL5,Testis-specific Y-encoded-like protein 5,
Q86VZ4,LRP11,Low-density lipoprotein receptor-related protein 11,
Q86VZ6,JAZF1,Juxtaposed with another zinc finger protein 1,
Q86W24,NLRP14,NACHT,
Q86W50,METTL16,RNA N6-adenosine-methyltransferase METTL16,
Q86W54,SPATA24,Spermatogenesis-associated protein 24,
Q86W67,FAM228A,Protein FAM228A,
Q86W92,PPFIBP1,Liprin-beta-1,
Q86WB0,ZC3HC1,Zinc finger C3HC-type protein 1,
Q86WC6,PPP1R27,Protein phosphatase 1 regulatory subunit 27,
Q86WD7,SERPINA9,Serpin A9,
Q86WG5,SBF2,Myotubularin-related protein 13,
Q86WN1,FCHSD1,F-BAR and double SH3 domains protein 1,
Q86WS4,REDIC1,Regulator of DNA class I crossover intermediates 1,
Q86WT6,TRIM69,E3 ubiquitin-protein ligase TRIM69,
Q86WV1,SKAP1,Src kinase-associated phosphoprotein 1,
Q86WZ0,HEATR4,HEAT repeat-containing protein 4,
Q86X02,CDR2L,Cerebellar degeneration-related protein 2-like,
Q86X27,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2,
Q86X45,DNAAF11,Dynein axonemal assembly factor 11,
Q86X53,ERICH1,Glutamate-rich protein 1,
Q86X76,NIT1,Deaminated glutathione amidase,
Q86X83,COMMD2,COMM domain-containing protein 2,
Q86XD5,FAM131B,Protein FAM131B,
Q86XD8,ZFAND4,AN1-type zinc finger protein 4,
Q86XH1,IQCA1,Dynein regulatory complex protein 11,
Q86XI6,PPP1R3B,Protein phosphatase 1 regulatory subunit 3B,
Q86XJ1,GAS2L3,GAS2-like protein 3,
Q86XN8,MEX3D,RNA-binding protein MEX3D,
Q86XP0,PLA2G4D,Cytosolic phospholipase A2 delta,
Q86XP1,DGKH,Diacylglycerol kinase eta,
Q86XS5,ANGPTL5,Angiopoietin-related protein 5,
Q86XZ4,SPATS2,Spermatogenesis-associated serine-rich protein 2,
Q86Y13,DZIP3,E3 ubiquitin-protein ligase DZIP3,
Q86Y22,COL23A1,Collagen alpha-1(XXIII) chain,
Q86Y26,NUTM1,NUT family member 1,
Q86Y34,ADGRG3,Adhesion G protein-coupled receptor G3,
Q86Y82,STX12,Syntaxin-12,
Q86YD3,TMEM25,Transmembrane protein 25,
Q86YM7,HOMER1,Homer protein homolog 1,
Q86YR7,MCF2L2,Probable guanine nucleotide exchange factor MCF2L2,
Q86YW5,TREML1,Trem-like transcript 1 protein,
Q86Z14,KLB,Beta-klotho,
Q86Z20,CCDC125,Coiled-coil domain-containing protein 125,
Q8IU54,IFNL1,Interferon lambda-1,
Q8IU57,IFNLR1,Interferon lambda receptor 1,
Q8IU60,DCP2,m7GpppN-mRNA hydrolase,
Q8IUB2,WFDC3,WAP four-disulfide core domain protein 3,
Q8IUD6,RNF135,E3 ubiquitin-protein ligase RNF135,
Q8IUF1,ZNG1B,Zinc-regulated GTPase metalloprotein activator 1B,
Q8IUG5,MYO18B,Unconventional myosin-XVIIIb,
Q8IUH2,CREG2,Protein CREG2,
Q8IUK5,PLXDC1,Plexin domain-containing protein 1,
Q8IUK8,CBLN2,Cerebellin-2,
Q8IUN9,CLEC10A,C-type lectin domain family 10 member A,
Q8IUW3,SPATA2L,Spermatogenesis-associated protein 2-like protein,
Q8IUX7,AEBP1,Adipocyte enhancer-binding protein 1,
Q8IUX8,EGFL6,Epidermal growth factor-like protein 6,
Q8IUZ0,LRRC49,Leucine-rich repeat-containing protein 49,
Q8IUZ5,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,
Q8IV16,GPIHBP1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,
Q8IV36,HID1,Protein HID1,
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,
Q8IV48,ERI1,3'-5' exoribonuclease 1,
Q8IV56,PRR15,Proline-rich protein 15,
Q8IV63,VRK3,Serine/threonine-protein kinase VRK3,
Q8IV76,PASD1,Circadian clock protein PASD1,
Q8IVD9,NUDCD3,NudC domain-containing protein 3,
Q8IVE0,CROCCP3,Putative ciliary rootlet coiled-coil protein-like 2 protein,
